Track name,Artist name,Album,Playlist name,Type,ISRC
"AL GOLPITO - Quevedo ft. Nueva Línea (Visualizer) | EL BAIFO","","","Favoritos","Playlist",""
"HIJO DE VOLCÁN - Quevedo ft. Los Gofiones (Visualizer) | EL BAIFO","","","Favoritos","Playlist",""
"LA GRACIOSA - Quevedo ft. Elvis Crespo (Official Video) | EL BAIFO","","","Favoritos","Playlist",""
"MI BALCÓN - Quevedo (Visualizer) | EL BAIFO","","","Favoritos","Playlist",""
"HOOKAH Y CALOR - Quevedo (Visualizer) | EL BAIFO","","","Favoritos","Playlist",""
"ALGO VA A PASAR - Quevedo ft. La Pantera, Lucho RK, Juseph (Visualizer) | EL BAIFO","","","Favoritos","Playlist",""
"2010YPICO - Quevedo (Visualizer) | EL BAIFO","","","Favoritos","Playlist",""
"GÁLDAR - Quevedo ft. Tonny Tun Tun (Visualizer) | EL BAIFO","","","Favoritos","Playlist",""
"EL BAIFO - Quevedo (Visualizer) | EL BAIFO","","","Favoritos","Playlist",""
"CAPRICHOSO - Quevedo (Visualizer) | EL BAIFO","","","Favoritos","Playlist",""
"ESTÁ EN CASA - Quevedo (Visualizer) | EL BAIFO","","","Favoritos","Playlist",""
"Yeidos · JLLY - Old Dreamer","","","Favoritos","Playlist",""
"Yeezy La Diferencia · Dlomalo · Juanito · Saint Cairo - DILE AL GATO TUYO","","","Favoritos","Playlist",""
"GlorySixVain · Guxo · T-Cun · Ignasigoreng - 20boots","","","Favoritos","Playlist",""
"Omar Montes · Lucho RK - Pa que Brinque","","","Favoritos","Playlist",""
"Alvaro Diaz - BABYRECORDS.","","","Favoritos","Playlist",""
"Iam - Xsiempre Mía","","","Favoritos","Playlist",""
"In Love - Trave, AmoryOdio ft.Seferolh","","","Favoritos","Playlist",""
"mvrk - Hazlo Así","","","Favoritos","Playlist",""
"Jay Wheeler - De Lejitos","","","Favoritos","Playlist",""
"ARCHIVO dañado.wav - ft Brray (visualizer)","","","Favoritos","Playlist",""
"att: el amor de tu vida - legallyrxx (visualizer)","","","Favoritos","Playlist",""
"AmoryOdio - LA USO","","","Favoritos","Playlist",""
"xiakko · Vgomez · Vittin Dior · Drummy - REVELA","","","Favoritos","Playlist",""
"AISSA - NO EST(hoy)BB (Visualizer) | EstapasandoBB","","","Favoritos","Playlist",""
"J4MES_LUNAS VIEJ4S - DEMO 1 (prod @almeja.flp, @ivan_armesto) - DEMO 2 (prod @lacuevacollective)","","","Favoritos","Playlist",""
"Baskiat - PRONTO DOLERÁ (Video)","","","Favoritos","Playlist",""
"STO QUE TENEMOS :(: - GATTI, Koboss Beats, Ilyam","","","Favoritos","Playlist",""
"AMORYODIO - Escapémonos (Audio Oficial)","","","Favoritos","Playlist",""
"Anonimus · Bryant Myers · Almighty - Toda La Vida","","","Favoritos","Playlist",""
"Delgao · Ruubthat - Da Igual","","","Favoritos","Playlist",""
"Delgao · FXY - James Cook","","","Favoritos","Playlist",""
"Duki - She Don't Give a FO","","","Favoritos","Playlist",""
"Rels B · Daniel Heredia Vidal - 100 TRACKS","","","Favoritos","Playlist",""
"Quevedo · Pedro Luis Domínguez Quevedo - Nonstop","","","Favoritos","Playlist",""
"Myke Towers - Tú","","","Favoritos","Playlist",""
"Rauw Alejandro · Ankhal - WUEPA","","","Favoritos","Playlist",""
"Rauw Alejandro - CAPRICHOSO","","","Favoritos","Playlist",""
"Soge Culebra · Mora · GARABATTO - 7 Lágrimas (Remix)","","","Favoritos","Playlist",""
"Bad Bunny · Farruko - Blockia (feat. DJ Luian & Mambo Kingz)","","","Favoritos","Playlist",""
"Sael - Esos Días","","","Favoritos","Playlist",""
"Manu Cort - T-Rex","","","Favoritos","Playlist",""
"Bad Bunny · Mora · Benito A. Martinez Ocasio - Una Vez","","","Favoritos","Playlist",""
"Jon Z · Eladio Carrión · Christopher A Lopez · Eladio Carrion · Jonathan Resto Quiñones · David Rafael Romero Duran · Manuel Alejandro Ruiz - Nikes, Diamantes y Skinnies","","","Favoritos","Playlist",""
"Mau y Ricky · Eladio Carrion - No Puede Ser (con Eladio Carrion)","","","Favoritos","Playlist",""
"Ambi · Iskender - Sin Ti","","","Favoritos","Playlist",""
"Delgao · Hens - Maldecío","","","Favoritos","Playlist",""
"Delgao · D3llano - Su cabeza en mi pecho","","","Favoritos","Playlist",""
"Ozuna · Jhayco · Alexis Gotay · Carlos Vidal Mejias Negrin · Felix Ozuna · Jaime Cosculluela · Jan Carlos Ozuna Rosado · Jesus Manuel Nieves Cortes · Joel Ismael Vazquez · Jose Antonio Aponte · Jose Cotto - No La Mires","","","Favoritos","Playlist",""
"Callejo · DAAZ · Typow - Salvaje","","","Favoritos","Playlist",""
"Rvssian · Rauw Alejandro · Chris Brown - Nostálgico","","","Favoritos","Playlist",""
"Noriel - KaRma","","","Favoritos","Playlist",""
"Yeico x Toni · Yeico - Tamagochi","","","Favoritos","Playlist",""
"D3llano · Mabbi - Mil Llantos","","","Favoritos","Playlist",""
"Lenin Jr - Dímelo Nena","","","Favoritos","Playlist",""
"Saiko - COSAS QUE NO TE DIJE","","","Favoritos","Playlist",""
"Alex Gargolas · Eladio Carrion · Rafael Alexis Quiles Hernandez · Eladio Carrion Morlaes III - Promesa","","","Favoritos","Playlist",""
"Mora · Gabriel Mora Quintero - Te Conoci Perriando","","","Favoritos","Playlist",""
"Anuel AA · Mora · Emmanuel Gazmey - Mi Voz Cuesta un Billón","","","Favoritos","Playlist",""
"Anuel AA · Emmanuel Gazmey · Americo Garcia · Benjamin Lasnier · Frabian Eli Carrion · Gabriel Mora Quintero · Jorge Medina · Juan Jose Botero · Luis David Roman · Machael Cole · Max Borghetti · Patrick Ingunza · Tyshane Thompson - Llorando en un Ferrari","","","Favoritos","Playlist",""
"Anuel AA | MCGREGOR","","","Favoritos","Playlist",""
"Anuel AA · Emmanuel Gazmey - Pin","","","Favoritos","Playlist",""
"Anuel AA · Emmanuel Gazmey - Rick Flair","","","Favoritos","Playlist",""
"Zetazen · Recycled J · Rubén Esteban Mercader · Jorge Escorial Moreno - 404","","","Favoritos","Playlist",""
"Ankhal · JHAYCO - Holy Shit (Remix)","","","Favoritos","Playlist",""
"Delgao · Fran Laoren · D3llano - Cabecero","","","Favoritos","Playlist",""
"DUKI · Justin Quiles · Bizarrap · Gonzalo Julian Conde · Mauro Ezequiel Lombardo - Unfollow","","","Favoritos","Playlist",""
"Eladio Carrion · Eladio Carrión - Sauce Boy Freestyle 5","","","Favoritos","Playlist",""
"JHAYCO - Dile (Homenaje)","","","Favoritos","Playlist",""
"Broken Squad - Lucif3r","","","Favoritos","Playlist",""
"JHAYCO · Anuel AA - Ley Seca","","","Favoritos","Playlist",""
"JHAYCO - Tokyo","","","Favoritos","Playlist",""
"Nicki Nicole · Mora - Toa la Vida","","","Favoritos","Playlist",""
"Bad Bunny - Si Estuviésemos Juntos Juntos","","","Favoritos","Playlist",""
"JHAYCO · Skrillex - En Mi Cuarto","","","Favoritos","Playlist",""
"Sael - Verificada","","","Favoritos","Playlist",""
"Bizarrap · Duki · Nicki Nicole · Gonzalo Julián Conde · Mauro Ezequiel Lombardo · Nicole Denise Cucco - YaMeFui","","","Favoritos","Playlist",""
"Rauw Alejandro - Sexo Virtual","","","Favoritos","Playlist",""
"Walls · Xavibo · Marc Seguí - Haciendo na","","","Favoritos","Playlist",""
"Rauw Alejandro - La Old Skul","","","Favoritos","Playlist",""
"Dejota2021 · Yera - Calor (Remix)","","","Favoritos","Playlist",""
